  Fig   Protocol          File               Metric              Value        
 fig11   epaxos        FileRead-0      p91.84000000000094  610.9881094912004  
 fig11   epaxos        FileRead-0      p91.85000000000095  610.9937889950014  
 fig11   epaxos        FileRead-0      p91.86000000000095  611.0088540220014  
 fig11   epaxos        FileRead-0      p91.87000000000096  611.0282866056026  
 fig11   epaxos        FileRead-0      p91.88000000000096  611.0557240944026  
 fig11   epaxos        FileRead-0      p91.89000000000097  611.0749774940011  
 fig11   epaxos        FileRead-0      p91.90000000000097  611.0863257400011  
 fig11   epaxos        FileRead-0      p91.91000000000098  611.0913114132002  
 fig11   epaxos        FileRead-0      p91.92000000000098  611.0930822384001  
 fig11   epaxos        FileRead-0      p91.93000000000099  611.1085814224018  
 fig11   epaxos        FileRead-0      p91.94000000000099  611.1270942992019  
 fig11   epaxos        FileRead-0       p91.950000000001   611.1494498320022  
 fig11   epaxos        FileRead-0       p91.960000000001   611.1709767176015  
 fig11   epaxos        FileRead-0      p91.97000000000101  611.1863876682015  
 fig11   epaxos        FileRead-0      p91.98000000000101  611.2266869944104  
 fig11   epaxos        FileRead-0      p91.99000000000102  611.3288233772105  
 fig11   epaxos        FileRead-0      p92.00000000000102  611.4902592000241  
 fig11   epaxos        FileRead-0      p92.01000000000103   611.726362901024  
 fig11   epaxos        FileRead-0      p92.02000000000103  611.8339844136021  
 fig11   epaxos        FileRead-0      p92.03000000000104  611.8553438404022  
 fig11   epaxos        FileRead-0      p92.04000000000104  611.9238203288088  
 fig11   epaxos        FileRead-0      p92.05000000000105  612.0076721010089  
 fig11   epaxos        FileRead-0      p92.06000000000105  612.0400268884028  
 fig11   epaxos        FileRead-0      p92.07000000000106  612.0657621288004  
 fig11   epaxos        FileRead-0      p92.08000000000106  612.0699761072004  
 fig11   epaxos        FileRead-0      p92.09000000000107   612.092011893009  
 fig11   epaxos        FileRead-0      p92.10000000000107   612.176885170009  
 fig11   epaxos        FileRead-0      p92.11000000000108  612.3407274878317  
 fig11   epaxos        FileRead-0      p92.12000000000108  612.6352825176322  
 fig11   epaxos        FileRead-0      p92.13000000000109  612.8238549694104  
 fig11   epaxos        FileRead-0      p92.1400000000011   612.9192978932105  
 fig11   epaxos        FileRead-0      p92.1500000000011   613.2354542420458  
 fig11   epaxos        FileRead-0      p92.1600000000011   613.6517304608464  
 fig11   epaxos        FileRead-0      p92.17000000000111  613.7359498312026  
 fig11   epaxos        FileRead-0      p92.18000000000112  613.7586072848026  
 fig11   epaxos        FileRead-0      p92.19000000000112  613.8362839866088  
 fig11   epaxos        FileRead-0      p92.20000000000113  613.9044537840018  
 fig11   epaxos        FileRead-0      p92.21000000000113  613.9205441112018  
 fig11   epaxos        FileRead-0      p92.22000000000114  613.9326492524004  
 fig11   epaxos        FileRead-0      p92.23000000000114  613.9359084166003  
 fig11   epaxos        FileRead-0      p92.24000000000115  613.9514539136034  
 fig11   epaxos        FileRead-0      p92.25000000000115  613.9810645400034  
 fig11   epaxos        FileRead-0      p92.26000000000116  613.9948921832005  
 fig11   epaxos        FileRead-0      p92.27000000000116  613.9991245964004  
 fig11   epaxos        FileRead-0      p92.28000000000117  615.0732686153611  
 fig11   epaxos        FileRead-0      p92.29000000000117  616.4534641987609  
 fig11   epaxos        FileRead-0      p92.30000000000118  616.6223048900097  
 fig11   epaxos        FileRead-0      p92.31000000000118  616.6974967466005  
 fig11   epaxos        FileRead-0      p92.32000000000119  616.7010823152004  
 fig11   epaxos        FileRead-0      p92.33000000000119   616.736543863016  
 fig11   epaxos        FileRead-0      p92.3400000000012   616.8704699740161  
 fig11   epaxos        FileRead-0      p92.3500000000012   616.9592336110026  
 fig11   epaxos        FileRead-0      p92.36000000000121  616.9803159736026  
 fig11   epaxos        FileRead-0      p92.37000000000121  616.9930941634008  
 fig11   epaxos        FileRead-0      p92.38000000000122  616.9992378316007  
 fig11   epaxos        FileRead-0      p92.39000000000122  617.0126947246019  
 fig11   epaxos        FileRead-0      p92.40000000000123   617.029116336002  
 fig11   epaxos        FileRead-0      p92.41000000000123    617.0316172062   
 fig11   epaxos        FileRead-0      p92.42000000000124  617.0323157884018  
 fig11   epaxos        FileRead-0      p92.43000000000124  617.0470858586018  
 fig11   epaxos        FileRead-0      p92.44000000000125  617.0600560296006  
 fig11   epaxos        FileRead-0      p92.45000000000125  617.0647444330006  
 fig11   epaxos        FileRead-0      p92.46000000000126  617.1006213428124  
 fig11   epaxos        FileRead-0      p92.47000000000126  617.1986342946124  
 fig11   epaxos        FileRead-0      p92.48000000000127  617.3901012624367  
 fig11   epaxos        FileRead-0      p92.49000000000127  617.6788927062365  
 fig11   epaxos        FileRead-0      p92.50000000000128  617.8274426500092  
 fig11   epaxos        FileRead-0      p92.51000000000128  617.8989799758091  
 fig11   epaxos        FileRead-0      p92.52000000000129  618.8344442025486  
 fig11   epaxos        FileRead-0      p92.5300000000013   619.9842991287484  
 fig11   epaxos        FileRead-0      p92.5400000000013   620.0539507176027  
 fig11   epaxos        FileRead-0      p92.5500000000013   620.0726439740001  
 fig11   epaxos        FileRead-0      p92.56000000000131  620.0736925888002  
 fig11   epaxos        FileRead-0      p92.57000000000131  620.0770296542013  
 fig11   epaxos        FileRead-0      p92.58000000000132  620.0866119548012  
 fig11   epaxos        FileRead-0      p92.59000000000133  620.2221354560406  
